Algorithm;FunctionName;Trials;Dimension;MaxIterations;PopulationSize;LowerBoundary;UpperBoundary;SearchedMinimum;BestFitness;BestSolution;ResultType
JSO;Rastrigin;10;5;1000;50;-5.12;5.12;0.0;3.2091307311077344e-05;(-0.00017986495416891235, -0.00017986495416891235, -0.00017986495416891235, -0.00017986495416891235, -0.00017986495416891235);BEST
JSO;Rastrigin;10;5;1000;50;-5.12;5.12;0.0;10.093765085514157;(-0.9833916621381853, -0.8274540475053294, 0.9833916621381853, -0.9833916621381853, 0.9833916621381853);WORST
JSO;Rastrigin;10;5;1000;100;-5.12;5.12;0.0;0.0018216005164077842;(-0.001340955885482109, -0.0014104019450098537, -0.0013409687770089551, -0.0013409268470996327, -0.0013409687770110645);BEST
JSO;Rastrigin;10;5;1000;100;-5.12;5.12;0.0;9.933393552700352;(-0.0861706790618535, -0.028236553798345998, 1.1580966869149245, 0.034416299889718616, -0.9152748073969175);WORST
JSO;Rastrigin;10;10;50;30;-5.12;5.12;0.0;29.896873972660643;(2.004687421260157, 2.004687421260157, 2.004687421260157, -1.0975791540292255, -0.9008816062633285, 2.004687421260157, -0.9008816062633285, 0.09538031636901234, -0.9474828448322066, -0.10760660507034525);BEST
JSO;Rastrigin;10;10;50;30;-5.12;5.12;0.0;79.60099072364619;(3.191043054376149, -1.0985481342874561, -1.7817641651090905, -2.8060771224860632, 0.017227729885117282, 1.955941600203467, 0.9928045180235271, -2.2093116574344207, -0.7185123258269379, 1.9517958723673656);WORST
JSO;Rastrigin;10;10;50;50;-5.12;5.12;0.0;46.475312511155906;(-1.1102681539052486, 0.9285532959788341, 2.2078282977034602, 1.0196480213935493, -1.0731784932010429, 2.2744864656135233, -1.0490270722684865, 1.1444083361093522, -1.0178692499602013, -0.9955088333681839);BEST
JSO;Rastrigin;10;10;50;50;-5.12;5.12;0.0;73.42207431296711;(-1.4609193682775041, -0.8537083957313607, 1.9574264526612453, 1.9574264526612453, -4.0162819430701155, -0.8537083957313607, -0.8537083957313607, 1.9574264526612453, -0.8537083957313607, 1.9574264526612453);WORST
JSO;Rastrigin;10;10;50;100;-5.12;5.12;0.0;29.367061936078372;(0.8451334822264309, -1.0235710231500175, -0.974260023554745, -1.0235710231500175, -1.0235710231500175, -0.9044425605039361, 0.059335702313894956, -1.2901047830420016, -1.0235710231500175, -1.0235710231500175);BEST
JSO;Rastrigin;10;10;50;100;-5.12;5.12;0.0;66.94579071531568;(1.019218232870154, 0.9556535728885441, 0.7793785781379765, -2.211874757173334, 0.0956496046200701, 0.34080314404702516, 1.0657610317405473, 0.9793036961584947, -1.9044175584269016, 3.8857258877650422);WORST
JSO;Rastrigin;10;10;100;30;-5.12;5.12;0.0;8.397883298913143;(0.009103895858632693, -0.18269605803512246, 0.009137393242027336, 0.053644695137860854, 0.039732676047671944, 0.05180041499574317, -0.008965656001922007, -0.019319881134194805, -0.04292197122270203, -0.05420776316291809);BEST
JSO;Rastrigin;10;10;100;30;-5.12;5.12;0.0;61.87469836823582;(0.2542357537470643, 1.6989505922882104, -0.3948104864631339, -0.8997942923990323, -1.0294036967758817, 0.013137894265970118, 1.1840861142553698, 0.10895612915278419, 0.0765931131125055, -1.0881396861090353);WORST
JSO;Rastrigin;10;10;100;50;-5.12;5.12;0.0;41.93108284458735;(-0.7906350342411048, 0.9204555974286538, -0.08906903050127257, 1.0451234530112368, -0.11872105374748941, 1.0887630759930698, 1.0353123348561, 1.0201309412159685, 0.33176966273657804, -1.1584804676665341);BEST
JSO;Rastrigin;10;10;100;50;-5.12;5.12;0.0;64.32299277481705;(-0.08728603044701, 0.02164233000769311, 0.036057123447093, 0.9669390079366664, 0.6624959176315737, 2.2033153973636086, -4.253098661472218, -0.8646725761705225, 0.9690031760263436, 0.028469614808089183);WORST
JSO;Rastrigin;10;10;100;100;-5.12;5.12;0.0;0.853888439075476;(-0.020760833813238122, 0.020760833813238122, -0.020760833813238122, -0.020760833813238122, -0.020760833813238122, -0.020760833813238122, -0.020760833813238122, -0.020760833813238122, -0.020760833813238122, 0.020760833813238122);BEST
JSO;Rastrigin;10;10;100;100;-5.12;5.12;0.0;57.65684415707822;(0.10213679347359572, -1.0333249246689826, -0.3242401285284966, -0.09557680345751329, 1.035189616127063, 1.8045341222170361, -0.002655498681306212, 1.8953254259148455, 0.5346620398305347, 1.01424980164651);WORST
JSO;Rastrigin;10;10;500;30;-5.12;5.12;0.0;0.04206745250132826;(-0.004604642921671287, -0.004604642921671287, -0.004604642921671287, -0.004604642921331531, -0.004606235351470561, -0.004604642921671287, -0.00460464292025653, -0.004606236000085806, -0.004604642921671287, -0.004604642921671287);BEST
JSO;Rastrigin;10;10;500;30;-5.12;5.12;0.0;63.493819793413415;(-0.17126236208803897, 2.1368173245189364, -0.2843968119315084, 0.697650891334111, 0.002605954474532282, 0.880290409149474, -0.9379641937080533, 3.074473202053878, 2.1267542080559703, 0.9755443337164829);WORST
JSO;Rastrigin;10;10;500;50;-5.12;5.12;0.0;0.25153132624542707;(-0.011262220451320637, -0.011262220451320637, 0.011262220451320637, 0.011262220451320637, 0.011262220451320637, -0.011262220451320637, -0.011262220451320637, 0.011262220451320637, -0.011262220451320637, -0.011262220451320637);BEST
JSO;Rastrigin;10;10;500;50;-5.12;5.12;0.0;28.099443979517247;(-0.1484052740127373, 0.10840988594579759, 0.10840988594579759, -0.12948970570001883, 0.10840988594579759, -0.09405920938976298, -0.12948970570001883, -0.1484052740127373, -0.10459538422125636, -0.12948970570001883);WORST
JSO;Rastrigin;10;10;500;100;-5.12;5.12;0.0;3.343791695864951;(-0.05243880209287077, -0.01945006106250169, -0.01945006106250169, -0.054855198811864625, 0.01945006106250169, -0.01945006106250169, -0.01945006106250169, -0.0935562145735549, -0.01945006106250169, 0.01945006106250169);BEST
JSO;Rastrigin;10;10;500;100;-5.12;5.12;0.0;48.75970236377185;(1.0168691100824594, 5.12, 1.0168691100824594, -1.0168691100824594, -1.0168691100824594, -0.26662638119338977, 1.0168691100824594, 1.0168691100824594, -1.0168691100824594, -1.0168691100824594);WORST
JSO;Rastrigin;10;10;1000;30;-5.12;5.12;0.0;0.014165260380451627;(-0.002672115227865035, -0.002672115227865035, -0.0026721152278672555, -0.0026721152278672555, -0.002672115227865035, -0.0026721152278672555, -0.0026721152278672555, -0.0026721152278672555, -0.0026721152278672555, -0.0026721152278672555);BEST
JSO;Rastrigin;10;10;1000;30;-5.12;5.12;0.0;25.847432889959634;(-0.09908443156158935, 0.23259181486044359, -0.8140811189010354, -0.08273811053793931, -0.08470391619800237, 1.0506286072050677, -0.0006718011302647431, 0.11014977999608921, -0.08510474474156625, 0.03294914226451248);WORST
JSO;Rastrigin;10;10;1000;50;-5.12;5.12;0.0;0.020327546784983497;(-0.003201014147395931, -0.003201014147395931, -0.003201014147395931, -0.003201014147395931, -0.003201014147395931, -0.003201014147395931, -0.003201014147395931, -0.003201014147395931, -0.003201014147395931, -0.003201014147395931);BEST
JSO;Rastrigin;10;10;1000;50;-5.12;5.12;0.0;20.940321859758512;(-1.0547972045829752, 1.0547972045829752, -1.0547972045829752, 1.0547972045829752, 1.0547972045829752, 1.0547972045829752, -1.0547972045829752, -0.8342725058146847, -1.0547972045829752, -1.0547972045829752);WORST
JSO;Rastrigin;10;10;1000;100;-5.12;5.12;0.0;0.02105572251319643;(-0.003257845197120801, 0.003257845197120801, -0.003257845197120801, -0.003257845197120801, -0.003257845197120801, -0.003257845197120801, -0.003257845197120801, -0.003257845197120801, -0.003257845197120801, -0.003257845197120801);BEST
JSO;Rastrigin;10;10;1000;100;-5.12;5.12;0.0;16.169202177835302;(1.0261263046931335, 0.1748607324590612, 1.0261263046931335, -1.0261263046931335, 1.0261263046931335, 1.0261263046931335, 1.0261263046931335, 1.0261263046931335, -1.0261263046931335, 1.0261263046931335);WORST
JSO;Rastrigin;10;30;50;30;-5.12;5.12;0.0;204.21504072592586;(-1.792078304457954, 0.7281338809658902, -1.0337368204976092, -0.8082373161297993, -1.5476616615606984, -0.9431223771269903, -0.267523042004167, 0.7034704036550954, 0.7214198694685727, 1.017488164730472, 0.02078346474960835, 0.06379801032084575, -0.7681819534365921, -0.7444930627037317, -0.235609831927448, 1.0328559818295207, 1.1030439770741514, 1.043182209061484, 0.7266469558057871, -1.0932599366107283, 1.4123681594898576, -1.0630425277317137, 1.1649665764027608, 0.026289813305674592, 1.026969730702407, -0.9806852479054906, -1.0512031133613657, -1.0096007761314858, -0.19789844382893484, -0.48355237854128585);BEST
JSO;Rastrigin;10;30;50;30;-5.12;5.12;0.0;289.00337984758323;(0.903755934055857, 1.7153558546941174, -2.7372565387474763, 1.944402804693455, -0.46663276416159616, 0.7995552927055366, 1.9689529871825477, 0.4010660971181128, -1.6895825446420978, -3.6613412036502577, 1.2999848160008205, 0.94738361593054, -1.0871243027386324, 1.2684116930629288, -2.244263697686262, 0.7335425588437141, -2.894561582301586, 1.1561709127033681, 0.9996948294796041, 2.9880848896488263, -1.731872885428443, -1.811581971138349, -0.15430419767571235, -0.09293016176516139, 2.2937308949133746, -0.1294378190814045, -2.1562237941504785, 1.9428122987525613, 0.9316176293871323, 0.13220124046991732);WORST
JSO;Rastrigin;10;30;50;50;-5.12;5.12;0.0;105.92729406578314;(-0.010739822859859416, 3.92793116888846, 0.010739822859859416, 0.010739822859859416, -0.010739822859859416, 0.010739822859859416, 0.010739822859859416, -0.010739822859859416, -0.010739822859859416, -0.010739822859859416, 0.010739822859859416, 0.010739822859859416, 0.010739822859859416, -1.8885274329491046, -5.12, 0.010739822859859416, 0.010739822859859416, 0.010739822859859416, -1.9864573190379535, -0.010739822859859416, -0.010739822859859416, -5.12, 0.010739822859859416, 0.010739822859859416, -1.582540449420482, 0.010739822859859416, -0.010739822859859416, 0.010739822859859416, 0.010739822859859416, -0.010739822859859416);BEST
JSO;Rastrigin;10;30;50;50;-5.12;5.12;0.0;276.46557733083677;(0.9013213159667995, -0.7355869405585607, 0.41522245577594596, 1.6544175609197673, -0.7855809119518888, 1.8747714737967442, 1.3424913773983878, 0.49052812257640793, -0.9587305156522012, 2.836969814377671, 0.18223848465063686, -0.4101144875435495, 1.0227613123971246, -1.2059012449679625, 2.8189966071592663, 1.0071433445743572, 0.5345808726398315, 0.06154588129111596, -0.9701036141417831, 0.12138131827452761, -0.12028960285761997, 0.4119623836093188, 2.043073834451434, 0.9268939553217691, 1.3772448695939932, 1.5607215967453276, 1.1547139358576772, -0.0019124403981516103, 1.0386043487918974, 1.8183308656534256);WORST
JSO;Rastrigin;10;30;50;100;-5.12;5.12;0.0;185.93407099509668;(0.9180595066147621, 0.9180595066147621, -0.9180595066147621, 1.0032525478194074, -0.9180595066147621, 0.9180595066147621, -0.9180595066147621, -3.8342074933080266, 0.9180595066147621, 0.9946099136781408, 0.47614629398251296, -0.9180595066147621, 0.9180595066147621, -1.231481401696263, 0.5925185966992004, 0.9180595066147621, 0.9180595066147621, -0.9180595066147621, -0.9180595066147621, -0.5110163214147212, -0.9180595066147621, 0.6205924309813664, 0.9180595066147621, -0.9180595066147621, -1.9418312451214605, 0.7030558943211984, 1.0032091765461848, -0.4390069237189058, -0.9180595066147621, -0.9053144327005382);BEST
JSO;Rastrigin;10;30;50;100;-5.12;5.12;0.0;283.0183266531061;(-4.698664067567995, 0.9908897378410453, -0.9908897378410453, 5.12, -0.9908897378410453, -0.7312057964388581, -0.9908897378410453, -3.3734885112928104, -0.9908897378410453, -5.12, -0.9908897378410453, 0.9908897378410453, -5.12, -0.9908897378410453, 0.9908897378410453, -5.12, 0.9908897378410453, 3.526294491586402, -0.9908897378410453, -5.12, 0.9908897378410453, -0.9908897378410453, -0.9908897378410453, 0.9908897378410453, -0.9908897378410453, 0.26145068146935824, 0.9908897378410453, 0.9908897378410453, -0.9908897378410453, -0.9908897378410453);WORST
JSO;Rastrigin;10;30;100;30;-5.12;5.12;0.0;39.73408807270374;(-0.0011876763915124045, -0.0011876763915124045, 0.0011876763915124045, 0.0011876763915124045, -0.0011876763915124045, -0.0011876763915124045, -0.0011876763915124045, -0.0011876763915124045, 0.0011876763915124045, 0.0011876763915124045, -0.0011876763915124045, -0.0011876763915124045, 0.0011876763915124045, 0.0011876763915124045, -0.0011876763915124045, -0.0011876763915124045, -0.0011876763915124045, -0.0011876763915124045, 0.0011876763915124045, 0.0011876763915124045, 0.0011876763915124045, -0.0011876763915124045, -0.0011876763915124045, -0.0011876763915124045, 4.884334030745779, 2.224347638601171, -0.0011876763915124045, -0.0011876763915124045, 0.0011876763915124045, 0.0011876763915124045);BEST
JSO;Rastrigin;10;30;100;30;-5.12;5.12;0.0;277.9217811836939;(0.22954153370154184, 0.17594430104510117, 0.3157328380654185, 0.16065121934465587, -2.224389399565436, 0.17182257692773373, 0.11891733014895767, 0.005714484270735731, 0.17601389710648174, 0.198044669298155, -2.190636186413285, 0.562005736392635, -4.746032350304668, 0.19363760201740376, 0.010007007200852236, 0.5619671661708905, 5.117339675658207, -1.708697361523718, 0.06406751797271326, -2.1906290350691786, 0.008537639123404439, 0.1267499648483188, 0.008538545283275134, 0.2065792328010172, 0.13204196870076412, 3.3194843185059253, 0.012919432342261672, 0.010007007200852236, -1.98601367611051, 3.2742530281865303);WORST
JSO;Rastrigin;10;30;100;50;-5.12;5.12;0.0;140.88821425322112;(-5.12, -5.12, -0.9751358332077142, -0.9751358332077142, 0.8081400976008752, -0.9751358332077142, 0.9751358332077142, -0.9751358332077142, -0.9751358332077142, -0.9751358332077142, -0.9751358332077142, 0.9751358332077142, -0.9751358332077142, 0.9751358332077142, 0.9751358332077142, -0.9751358332077142, -0.9751358332077142, -3.8208374124346607, 0.9751358332077142, -0.9751358332077142, 0.9751358332077142, -0.9751358332077142, 0.9751358332077142, 0.9751358332077142, -0.9751358332077142, -0.9751358332077142, -0.9751358332077142, -0.9968507502350168, 0.9751358332077142, -5.12);BEST
JSO;Rastrigin;10;30;100;50;-5.12;5.12;0.0;251.21564195349677;(-1.310545039014975, 1.069610654778966, -0.9364141814073794, 2.344358920821583, -0.6974782155520545, 1.3103410489869174, 1.1102432219569127, 0.07339631207570718, -1.3192712980679904, 0.013472370139292922, 2.014117506255312, 0.9655269046303336, 1.8868901767608424, 0.981964993786763, -1.2233091052752538, 0.9223066839496498, -1.2028656320536852, -1.138532134720782, -0.01466500754756378, 1.1473933283298656, -1.0224496421970646, 0.7589407309179169, 2.7347136348670005, -2.190629290992243, 0.8539920789783757, -0.6894419986191378, 0.5591082469071809, -0.6107137425611325, 3.208492542698921, -0.1347399682758178);WORST
JSO;Rastrigin;10;30;100;100;-5.12;5.12;0.0;60.058180768047976;(-0.019953332623374287, -0.019953332623374287, -0.019953332623374287, -5.12, -0.019953332623374287, 5.12, -0.019953332623374287, -0.019953332623374287, -0.019953332623374287, 0.019953332623374287, -0.019953332623374287, 0.019953332623374287, -0.019953332623374287, -0.019953332623374287, 0.019953332623374287, -0.019953332623374287, -0.019953332623374287, -0.019953332623374287, -0.019953332623374287, -0.019953332623374287, 0.019953332623374287, -0.019953332623374287, -0.019953332623374287, -0.019953332623374287, 0.019953332623374287, -0.019953332623374287, -0.019953332623374287, -0.019953332623374287, -0.019953332623374287, -0.019953332623374287);BEST
JSO;Rastrigin;10;30;100;100;-5.12;5.12;0.0;259.35652724691886;(0.00781852689427076, -0.41990076987461666, -0.00781852689427076, -5.12, -0.00781852689427076, -0.00781852689427076, -2.46979883925103, -5.12, -5.12, 0.00781852689427076, -0.00781852689427076, -5.12, -0.00781852689427076, -0.00781852689427076, -0.00781852689427076, -5.12, 0.00781852689427076, 0.00781852689427076, 0.00781852689427076, -0.00781852689427076, 0.00781852689427076, 0.00781852689427076, 0.2540592962117154, -0.00781852689427076, -0.00781852689427076, 0.00781852689427076, -0.00781852689427076, 0.00781852689427076, -5.12, 3.4181278143602696);WORST
JSO;Rastrigin;10;30;500;30;-5.12;5.12;0.0;0.016426828469548127;(0.0016613304354873293, -0.0016613304354873293, -0.0016613304354873293, -0.0016613304354873293, -0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, -0.0016613304354873293, 0.0016613304354873293, -0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, -0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293, -0.0016613304354873293, 0.0016613304354873293, -0.0016613304354873293, 0.0016613304354873293, 0.0016613304354873293);BEST
JSO;Rastrigin;10;30;500;30;-5.12;5.12;0.0;122.87940827495012;(1.0264776238709232, -0.9348795636090825, -0.09478147974958007, 1.0264768596067761, -0.9879774555795291, -0.09478145873311378, -0.9879774731344273, 1.0264059365993212, 4.777925355469365, -0.9879775100822137, 1.0264255160080125, -2.0465589997931035, 1.022951300445297, -0.9879774579400384, -2.036401080505918, 1.0264413701189383, -0.9879774382518651, 1.7820370421978904, -0.9879774247283324, 1.026470906440347, -0.9879776617476361, 4.969798379324588, -0.9877660271025679, -2.036400138058369, 1.781775450668765, 0.8606554095805774, -0.9879774749478889, -0.9879774061443645, -0.09154390265444368, -0.9364111120477461);WORST
JSO;Rastrigin;10;30;500;50;-5.12;5.12;0.0;19.66249564871515;(0.006207930252242422, -1.0083336200888473, -1.0083336200888473, 0.006207930252242422, -1.0083336200888473, 0.006207930252242422, -1.0083336200888473, 0.006207930252242422, -1.0083336200888473, -1.0083336200888473, 0.006207930252242422, 0.006207930252242422, -1.0083336200888473, -1.0083336200888473, -1.0083336200888473, -1.0083336200888473, -1.0083336200888473, -1.0083336200888473, -1.0083336200888473, -1.0083336200888473, -0.006207930252242422, -1.0083336200888473, 0.006207930252242422, -1.0083336200888473, -1.0083336200888473, -0.006207930252242422, -1.0083336200888473, 0.006207930252242422, -1.0083336200888473, 0.006207930252242422);BEST
JSO;Rastrigin;10;30;500;50;-5.12;5.12;0.0;196.08555070977354;(1.0397112831063842, 1.52139450051417, -1.2032686313739696, 1.038315449799529, -1.038315449799529, 5.016811955424651, -1.038315449799529, -4.852763786395377, -1.038315449799529, 1.1549104632656082, 1.038315449799529, -1.038315449799529, -1.5926685334728163, 1.038315449799529, -1.0537846597630338, 1.038315449799529, -1.038315449799529, 1.0537163518738586, -1.0393561620186142, -3.1303864666612995, -1.038315449799529, -1.038315449799529, 1.5797028944254636, 1.038315449799529, -1.038315449799529, 1.038315449799529, -1.1298397411783103, -1.0272280543882841, 1.038315449799529, 1.38608609992436);WORST
JSO;Rastrigin;10;30;500;100;-5.12;5.12;0.0;87.61050295431926;(0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, -0.012498677848383544, -0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 5.12, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, 0.012498677848383544, -0.012498677848383544, -0.012498677848383544, 0.012498677848383544, -0.012498677848383544, 0.012498677848383544, -0.012498677848383544, 5.12, 0.012498677848383544, 5.12);BEST
JSO;Rastrigin;10;30;500;100;-5.12;5.12;0.0;139.94807726982273;(0.060164984370033814, -0.060164984370033814, 0.060164984370033814, 1.9307541864710906, 0.060164984370033814, 0.060164984370033814, -0.060164984370033814, -0.060164984370033814, 0.060164984370033814, -0.14802064254486513, 1.1838594647864418, -0.6732723725466108, -0.060164984370033814, -0.060164984370033814, -1.589573936035758, 0.060164984370033814, -0.060164984370033814, 0.060164984370033814, 0.060164984370033814, -1.7283375660300886, 0.060164984370033814, 0.060164984370033814, -0.060164984370033814, 0.060164984370033814, 0.060164984370033814, 0.060164984370033814, -0.060164984370033814, -5.12, -5.12, 0.060164984370033814);WORST
